entity,entity_dir,algorithm,track,level,n_replicates,n_pixels,coverage,median_width,mean_width,median_signed_diff,mean_abs_diff,frac_diff_gt_0p1
Astacus astacus,Astacus_astacus,random_forest,local_only,3,30,14562,0.8663645103694547,0.17731749999999996,0.2235674155088071,-0.011469444444444452,0.05072959183928282,0.1262189259717072
Astacus astacus,Astacus_astacus,random_forest,local_only,10,30,14562,0.7477681637137756,0.23833172619047613,0.2709585892119143,-0.030400000000000007,0.08202832929873619,0.3219338003021563
Astacus astacus,Astacus_astacus,random_forest,local_only,20,30,14562,0.6414640846037633,0.27825833333333333,0.29383511523251427,-0.044637857142857104,0.11830952212278506,0.43599780249965664
Astacus astacus,Astacus_astacus,random_forest,upstream_only,3,30,14562,0.9414228814723252,0.02819999999999999,0.15046828413098134,-0.0049129214478708105,0.03488912251650882,0.10623540722428237
Astacus astacus,Astacus_astacus,random_forest,upstream_only,10,30,14562,0.4875703886828732,0.035491666666666644,0.1690644945491412,-0.025418799472873232,0.05390737366656208,0.16494986952341711
Astacus astacus,Astacus_astacus,random_forest,upstream_only,20,30,14562,0.4379206153000961,0.03788749999999996,0.18060880733936624,-0.055616867539455606,0.07920737353005212,0.21782722153550335
Astacus astacus,Astacus_astacus,random_forest,combined,3,30,14562,0.8763906056860321,0.1791683712121212,0.22398979978008146,-0.011606269841269886,0.05040027441057623,0.1315753330586458
Astacus astacus,Astacus_astacus,random_forest,combined,10,30,14562,0.7529872270292542,0.23783958333333333,0.2723492739446875,-0.03163373015873019,0.08207544505112867,0.32674083230325507
Astacus astacus,Astacus_astacus,random_forest,combined,20,30,14562,0.6455843977475622,0.2784895833333333,0.2954283400424675,-0.04709984126984127,0.11869133287604926,0.4465046010163439
Astacus astacus,Astacus_astacus,xgboost,local_only,3,30,14562,0.7273726136519709,0.10601276289671654,0.2479603315432279,-0.007647966081276536,0.05959169033720954,0.1915945611866502
Astacus astacus,Astacus_astacus,xgboost,local_only,10,30,14562,0.5433319598956188,0.22927435711026187,0.3139352301996562,-0.02155849200983842,0.09289816469600984,0.3610767751682461
Astacus astacus,Astacus_astacus,xgboost,local_only,20,30,14562,0.47060843290756765,0.32200726503506283,0.34754005991637243,-0.034933314348260566,0.13622793951514559,0.45742343084741105
Astacus astacus,Astacus_astacus,xgboost,upstream_only,3,30,14562,0.9149155335805521,0.02066732943058014,0.16816516031514317,-0.003771495819091808,0.04251079601336731,0.13377283340200521
Astacus astacus,Astacus_astacus,xgboost,upstream_only,10,30,14562,0.42727647301194893,0.019129495322704304,0.1956999844341869,-0.024284646908442176,0.06249373464475406,0.18974042027194066
Astacus astacus,Astacus_astacus,xgboost,upstream_only,20,30,14562,0.3849745914022799,0.028989846259355523,0.21194190850392258,-0.05466490983963013,0.08905882963966763,0.2246257382227716
Astacus astacus,Astacus_astacus,xgboost,combined,3,30,14562,0.7466694135420958,0.10830509516526941,0.2476660537688523,-0.007765832089353352,0.060488310555147286,0.1942040928443895
Astacus astacus,Astacus_astacus,xgboost,combined,10,30,14562,0.5693586045872819,0.23350797854363914,0.3142039120571908,-0.02150733588108172,0.09373373169149118,0.3676692761983244
Astacus astacus,Astacus_astacus,xgboost,combined,20,30,14562,0.4921027331410521,0.3195786198135465,0.3474778483853337,-0.03259397765311102,0.13664508894146057,0.46559538524927896
Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,random_forest,local_only,3,30,12681,0.9144389243750493,0.08764999999999999,0.14408259003752644,-0.002466666666666668,0.028496814022895563,0.051809794180269694
Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,random_forest,local_only,10,30,12681,0.8663354625029572,0.10040416666666664,0.1517871846910701,-0.00760555555555556,0.03652082008988917,0.08240675025628894
Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,random_forest,local_only,20,30,12681,0.7871618957495465,0.105125,0.15672724702697433,-0.012408888888888928,0.0466151497447314,0.127750177430802
Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,random_forest,upstream_only,3,30,12681,0.45595773204005996,0.0577993594992382,0.06376252590145563,-0.015642296520002708,0.019020488619287935,0.0009462976105985332
